toy_id,toy_name,setls_internal_id,rental_price_cents,fetch_status
1306,reptangles,142489,100,ok
1309,crocodile push and play,142492,50,ok
1310,activity triangle,142493,50,ok
1312,clock stacker,142495,50,ok
1313,Kicking Giraffe,142496,50,ok
1315,dress up tree house,142498,50,ok
1316,tri bike,142499,50,ok
1327,spot it!,142510,50,ok
1330,Wooden Transport Set,142513,50,ok
1331,fire station set,142514,300,ok
1332,leap pad purple,142515,300,ok
1334,Tiny Tot Driver,142517,50,ok
1335,Crazy colours torch,142518,50,ok
1336,Fire chief costume,142519,100,ok
1337,"balance bike, Blue, Eurotrike",142520,200,ok
1338,ride-on tcv green,142521,200,ok
1339,Tummy ache game,142522,50,ok
1340,Find It - Starry Night,142523,100,ok
1341,Rainbow hand bells,142524,200,ok
1342,5 rabbit peg puzzle,142525,50,ok
1343,9 animal wooden peg puzzle,142526,50,ok
1345,3 diggers chunky puzzle,142528,50,ok
1346,Flip n Tip Fred,142529,200,ok
1348,washing machine,142531,300,ok
1350,scramble play soft blocks,142533,300,ok
1352,push and go cheetah,142535,50,ok
1353,leapfrog house,142536,50,ok
1354,lamaze bug,142537,50,ok
1356,brainbox absolute electronics kit,142539,100,ok
1357,BrainBox car and boat kit,142540,100,ok
1358,Leap Frog Fridge Phonics,142541,100,ok
1359,Ride on Thomas,142898,300,ok
1363,Duplo farm,142886,50,ok
1364,Snakes and ladders,142887,100,ok
1365,Big building blocks,142888,100,ok
137,Mighty Voyager Pirate Ship,141461,50,ok
139,CAT Junior Operator Combo Hauler,143080,100,ok
147,Sorting Box,141469,50,ok
15,Baby fun time,142909,100,ok
152,CAT TAKE-APART-BUDDIES,143082,100,ok
155,Cyclone Wheelbarrow and Gardening Set,143208,100,ok
157,Tomy Car Garage,143017,50,ok
159,Looper & Friends,141479,50,ok
16,Wooden Building Blocks,141352,50,ok
161,Push along wooden fox,143020,50,ok
163,Primo Stacknlearn,141483,50,ok
164,Finger Puppets & Theatre,141484,100,ok
166,Whale Teeter Totter,141486,200,ok
167,Eichhorn Activity Cube,143023,100,ok
168,Fisher Price MEGA Farm,143024,100,ok
169,Boy baby doll,143025,50,ok
171,vtech Safari Sounds Piano,143027,50,ok
173,Vtech Toot-Toot Animals,143028,100,ok
174,CAT metal dump truck,143058,100,ok
177,Vtech Toot-Toot Drivers Garage,143032,100,ok
178,Le Toy Van Pizza,143033,50,ok
179,Jamm Scoot Ride On,143209,100,ok
18,Bean bag games,142911,50,ok
180,Wooden Animal Sounds Puzzle,143035,50,ok
181,John Deere Digger,143036,50,ok
183,Suitcase Shape Sorter,141500,50,ok
189,Ladybird Dress Up,141505,50,ok
19,Big basketball stand,142912,300,ok
191,Peek A Boo Tunnel,141507,200,ok
193,Vtech Giraffe Guitar,143044,50,ok
196,Fisher Price Vacuum,143047,,no_price
198,Peppa Pig House,143048,50,ok
2,Bouncy Castle,142897,5000,ok
200,Catch and count fishing game,143049,100,ok
202,Grande Coupe (green),141515,200,ok
203,Vtech Toot-Toot Extreme Stunt Set,143051,100,ok
205,Jungle Glove Puppets,141517,50,ok
207,Whats Inside Me Apron,141519,50,ok
209,Symphonic Grand Piano Set,143054,200,ok
21,Little people helicopter,142914,100,ok
210,Fantasy Puppets,141522,50,ok
211,Vtech vehicles,143055,100,ok
213,Imaginext Jurassic Rex,143057,300,ok
214,CAT plastic loader,143059,50,ok
215,Trunki Suitcase,143060,50,ok
218,Cozy Coupe (red),141529,200,ok
22,Wooden chunky train,142915,50,ok
225,Vtech Push and Ride Alphabet Train,143069,100,ok
229,Maze Balancing Board,141539,50,ok
23,Wooden Beads,141359,50,ok
233,Coloured Clown,141543,50,ok
235,Twist n Learn and Tweet n Twirl,141545,50,ok
239,Doctors dress up,141549,50,ok
243,Tongue Drum,141553,100,ok
244,Optimus Prime Dinosaur/Knight,143083,100,ok
246,Safari Sounds Microphone 1#,143084,50,ok
247,John Deere Buck,143195,50,ok
248,Floaty Boat,141558,50,ok
249,WOW Spaceship,143086,50,ok
252,TRUCK John Deere,143089,200,ok
253,TRACTOR LOADER John Deere,143090,200,ok
254,FLIP ride on,143091,50,ok
256,Thomas bike,143093,50,ok
